product_key,product_id,product_category,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,last_updated
117,00fefaf41156bb4b0d850fb27da97897,Unknown,3,100,20,18,18,2025-09-21
118,00ffe57f0110d73fd84d162252b2c784,Unknown,1,16000,16,2,11,2025-09-21
119,0103208eb1ea5a1a7359c0251a65e37a,Unknown,7,1600,35,17,35,2025-09-21
120,0103863bf3441460142ec23c74388e4c,Unknown,0,200,16,2,11,2025-09-21
121,0105b5323d24fc655f73052694dbbb3a,Unknown,4,2839,19,16,18,2025-09-21
122,01078a94cb29913dfda1a962fd4e3400,Unknown,1,268,32,15,30,2025-09-21
123,01084e8138d03dc691daa19aa6c12471,Unknown,4,1390,18,11,25,2025-09-21
124,010951987d78f9d52fbf50a43b690ba1,Unknown,1,1100,40,20,20,2025-09-21
125,010a3a47c14f1295796c08419f32cef6,Unknown,1,200,19,5,11,2025-09-21
126,010c38887e6a41a5acfea2687515b254,Unknown,1,1400,30,5,20,2025-09-21
127,010c79af51e82f60de174b6da6060c0a,Unknown,1,192,20,16,12,2025-09-21
128,010c988805cc0a13b9ba455ffc6c8510,Unknown,2,200,24,7,14,2025-09-21
129,010f24a605e8431fc68562e597f80d63,Unknown,3,500,16,15,15,2025-09-21
130,0110573bc9195aa810a4384f189f48f5,Unknown,1,3900,63,11,43,2025-09-21
131,0110986ff84d644fee920efb18577292,Unknown,5,2900,72,4,44,2025-09-21
132,0111ab6fb41da433e0f17d3f4ec2c8f5,Unknown,1,500,23,8,25,2025-09-21
133,0112c32bab2fb9a2147b92cdd5f1d3e7,cool_stuff,4,800,33,15,30,2025-09-21
134,011377a7487fef47fc9e73fa5f7322a6,Unknown,1,1875,29,22,26,2025-09-21
135,0116f3b947377cccf0135f8071b54d74,Unknown,4,1050,40,20,20,2025-09-21
136,01175f0c6182b4410c669417d7e8268f,Unknown,4,600,42,7,42,2025-09-21
137,011967a30ceeaa86acb72e79664544ad,Unknown,1,4100,17,105,12,2025-09-21
138,011ae9863bd5b15e528a16dd8ceb4772,Unknown,6,1575,19,51,20,2025-09-21
139,011bb8a6af5178b33871a83c4f297d32,Unknown,1,600,36,9,13,2025-09-21
140,011be89e68e286ac07f51c22ecbb04aa,Unknown,6,450,25,15,28,2025-09-21
141,011c2759ca1a29c74ecd8bfa48d0ac14,Unknown,2,450,20,10,20,2025-09-21
142,01217a683550744160a91eaa46a92305,Unknown,4,1300,25,20,16,2025-09-21
143,0124d1581f26143e988b8e1a4b7adab7,Unknown,1,250,16,22,16,2025-09-21
144,0127db1f4effcf8f5b88d80588bc5624,Unknown,1,200,20,7,15,2025-09-21
145,0129d1e9b29d3fe6833cc922374cd252,consoles_games,1,100,20,3,15,2025-09-21
146,012dd0e1c1f14325ee35f06748329355,Unknown,4,490,30,5,25,2025-09-21
147,0130c4375ccbe30dbfa676abd076a056,Unknown,3,1038,40,36,13,2025-09-21
148,013298e0648d412de0d65690045493bc,Unknown,1,350,17,16,17,2025-09-21
149,0134eb6b933b7ebc0f9e24ae5abefaa0,Unknown,1,1150,55,19,46,2025-09-21
150,0135900191d4383219257d6fde585ccf,pet_shop,1,14475,70,28,48,2025-09-21
151,01365901d8f2247976a7e5d4c98c52c0,Unknown,6,250,16,2,20,2025-09-21
152,0138b665025e0b24bfa6206d97b0f117,Unknown,2,1000,44,4,44,2025-09-21
153,013b5dd7d319685753e2c12292975615,Unknown,2,10100,65,63,64,2025-09-21
154,013c4b7963865454407e0c79047636c3,Unknown,2,1075,38,10,25,2025-09-21
155,013cc658e88b36989b48b2bd5f7add59,Unknown,1,1050,30,25,25,2025-09-21
156,013e6676e0e3529e5909ff54370daddf,Unknown,1,1088,33,20,15,2025-09-21
157,013ee64977aaa6b2b25475095162e0e9,Unknown,2,1350,45,10,55,2025-09-21
158,013fef6ee8c8f3ff998e8f0a950a0495,Unknown,1,150,35,16,16,2025-09-21
159,0141015d2469c1c5f9d7d377d1cdb44a,Unknown,2,17800,70,15,24,2025-09-21
160,0141f5b2fc5389a8b247ae23b58482ef,Unknown,6,240,16,11,12,2025-09-21
161,01422266d7a3131403364787ef9dab11,cool_stuff,1,450,40,4,30,2025-09-21
162,0142fd5bd2e0923cf2dbc73d471dda34,Unknown,4,1400,22,12,33,2025-09-21
163,014a8a503291921f7b004a5215bb3c36,Unknown,4,150,16,7,11,2025-09-21
164,014d94f219fbff1166b9cf700eee36b2,Unknown,1,400,18,12,12,2025-09-21
165,014fcf6bd5cd4c7ee29fb3bb618c445e,Unknown,0,7000,55,30,45,2025-09-21
166,01503fbd89d42654631476b292b8bc8c,Unknown,3,400,30,30,30,2025-09-21
167,0152cb427657428c06633fce6d721da4,Unknown,3,150,22,4,17,2025-09-21
168,0152f69b6cf919bcdaf117aa8c43e5a2,Unknown,1,250,40,4,30,2025-09-21
169,01545847403c0f1e69d76654d66be35c,pet_shop,4,450,38,4,38,2025-09-21
170,015527ec9502daa03dfd0e22ef1d1288,Unknown,1,200,25,10,11,2025-09-21
171,01586bfbe1d5449887f1cac4ad1fbd02,Unknown,1,125,17,6,13,2025-09-21
172,01593b27eef404f592e6a3f1174493bf,cool_stuff,1,2000,50,40,30,2025-09-21
173,015dfd6612249811b2e147c1f3be048f,Unknown,4,300,17,28,11,2025-09-21
174,015e04445dedbd5da301ef29cbb03f83,Unknown,2,550,70,10,40,2025-09-21
175,015e652da4f31f2f7a051a6de66094c0,Unknown,3,700,22,13,16,2025-09-21
176,015ec57b45a4c3efc70288eb133d623a,Unknown,1,750,28,4,18,2025-09-21
177,015f06d7b83e5a6f7d1765fb5d8bdfa6,Unknown,2,400,16,2,11,2025-09-21
178,01604238fbc11ce379e537a76b26bc94,Unknown,1,125,21,17,17,2025-09-21
179,0160785b697a5ea87d52949bd097ce05,Unknown,3,14000,26,66,46,2025-09-21
180,0160814e8c847c018da9cf3e01c271be,Unknown,1,400,16,19,11,2025-09-21
181,0164201c7c8b81dc5779e015e2d7be59,Unknown,1,600,32,5,30,2025-09-21
182,016711f78a6a87696645db0a6a834826,Unknown,2,1150,27,22,39,2025-09-21
183,0167ff78aa8cd40d5432d3daae646c7a,Unknown,1,700,33,4,24,2025-09-21
184,016809bbae76f284266dcffcbb12480b,Unknown,3,600,50,5,40,2025-09-21
185,0168e1b28d8e55a515928cf656eff0a4,Unknown,1,950,22,19,19,2025-09-21
186,016becd5c493d3b3872aaa7294accf52,Unknown,1,1071,17,21,15,2025-09-21
187,016cae136d358dcdacbd7ac9f1864c09,Unknown,2,300,30,5,20,2025-09-21
188,016f3b29107ed03252e477b08445cec4,Unknown,2,3500,25,5,25,2025-09-21
189,017066298c485af1e19e55363f5dc362,Unknown,1,100,19,4,11,2025-09-21
190,017457b0013d01d5a5a4a020ed1f14b9,Unknown,0,2200,28,20,14,2025-09-21
191,0174eb125f49a617bd9c6277e5aa76a9,Unknown,1,250,27,13,17,2025-09-21
192,0176300ac9900e260f35fbddd71c6d92,Unknown,1,200,27,12,17,2025-09-21
193,017692475c1c954ff597feda05131d73,Unknown,1,50,16,5,11,2025-09-21
194,0176bf7839ab4e611dc01cdc3ef6f4e4,cool_stuff,1,1600,33,44,19,2025-09-21
195,017e3ffa31fcd2f8061fa66a9e486381,Unknown,2,700,19,9,15,2025-09-21
196,017e8dcb2e1a468d46e6e80fd694c5ec,Unknown,5,1150,55,12,35,2025-09-21
197,0182796b487918d688ba48cf3a0d1bf4,cool_stuff,1,2300,33,44,19,2025-09-21
198,0182db9fc95fd36e324e8a4c40c0819a,Unknown,2,2400,35,10,30,2025-09-21
199,01847cb3f55acfd629641e58e38e561e,Unknown,6,800,17,10,12,2025-09-21
200,01849445c151d94a1f0cfff03c9ed154,Unknown,2,1200,34,6,41,2025-09-21
201,0185e6719ca5c224fc53853997fa3f68,Unknown,1,1600,40,15,35,2025-09-21
202,0185f302dc17abf603edfe7929a0120a,Unknown,5,10600,78,4,47,2025-09-21
203,01880e9ca075037ac0520fb94c07a79a,Unknown,5,550,17,5,12,2025-09-21
204,01886ce599b5837b3e1966cdafacd080,Unknown,2,1000,50,12,12,2025-09-21
205,018ca97302e4293050cc41413194bb19,Unknown,1,2467,28,26,24,2025-09-21
206,018e4943e4cc9ed099f6fc1a7b65b07d,Unknown,2,300,19,12,12,2025-09-21
207,019003324f0a201dd2c8962beaf94b6d,Unknown,1,250,33,2,23,2025-09-21
208,0192191cc1bc83262d6667c54c2e048f,Unknown,4,850,22,12,33,2025-09-21
209,0193fc18d9a6e9b9b0b3a41768fefa12,Unknown,6,500,39,6,27,2025-09-21
210,01948c8dbac93beb665f136bccd530d8,consoles_games,1,550,20,30,20,2025-09-21
211,0198a991deae439205851e71a7b0bdf7,Unknown,3,12600,74,8,74,2025-09-21
212,019d8b8866a5555ac955b45ffd35e039,Unknown,1,1400,28,9,25,2025-09-21
213,01a0f7d0d081d619be810e512be45f97,Unknown,1,4517,57,17,35,2025-09-21
214,01a184b7d8422cd95e9cf2a8cff32b5e,Unknown,1,1287,32,25,35,2025-09-21
215,01a2ad2b54cd734f78cb817da7752d8b,Unknown,1,430,19,14,12,2025-09-21
216,01a5038835acf17f141c7247956b72d6,Unknown,1,1350,34,7,32,2025-09-21
217,01a52711e989a817ab8100ddcf8d2940,Unknown,5,1500,16,35,11,2025-09-21
218,01a630ec9b9f9387e5a91c1f83bd209b,Unknown,2,300,27,13,16,2025-09-21
219,01a88bd2633c52bcc66348307cb3ae15,Unknown,1,11800,61,61,19,2025-09-21
220,01a900ffd5609ad754c38f9dcbce8c6d,Unknown,3,700,28,25,25,2025-09-21
221,01a9707790aab6855a6438b92c4c396b,Unknown,1,400,16,16,15,2025-09-21
222,01a977e282d5884149e79181506c0941,Unknown,1,900,23,25,11,2025-09-21
223,01aa9c122bda45bcbf7edd32fbc36d23,Unknown,5,14700,100,55,16,2025-09-21
224,01aace6e8152ecaf9eb47678521069c6,Unknown,3,475,19,5,15,2025-09-21
225,01af6a4592d74b6d41ceeede0bd8b417,Unknown,8,6600,105,15,25,2025-09-21
226,01b0238705b6ae8e35c6fea837e6ae4a,Unknown,1,900,20,4,11,2025-09-21
227,01b154ceb5457897eb28b9e549f28219,Unknown,1,400,25,10,17,2025-09-21
228,01b25153516d822621a92f9ce0b03e17,Unknown,3,650,18,20,17,2025-09-21
229,01b660ebc1a0c293ccf9b117fa6dd8bb,Unknown,3,350,60,10,15,2025-09-21
230,01b8234bc0c131e61acb47932d0bc25f,Unknown,3,200,20,15,20,2025-09-21
231,01b864cf36d60d972e2e29d8c5084d64,Unknown,1,2400,42,11,36,2025-09-21
232,01bacce2c74317ed2524bcaabae2e9d4,Unknown,2,1000,38,39,38,2025-09-21
233,01bc2a3c12d6e588aecb54ffad194c13,Unknown,1,4350,20,20,20,2025-09-21
234,01bd9be7c04525d23a4a901b4abbf56c,Unknown,1,8150,40,11,40,2025-09-21
235,01c2e91674406ebaca6a1bbf7f61c3f0,Unknown,1,600,23,16,16,2025-09-21
236,01c3486b189d16ad1b35270d5881e5a4,Unknown,3,9750,38,38,35,2025-09-21
237,01c666c82f414c762ad21bffa56e8b49,Unknown,2,50,25,11,15,2025-09-21
238,01c69d0fbb0d9d8f42ac171ac1238233,Unknown,1,30000,55,75,61,2025-09-21
239,01c96f284d6c40f92f25142a59328511,Unknown,3,3750,27,19,22,2025-09-21
240,01c9a70868bec5b748c67fcc26ce5895,Unknown,2,750,30,17,30,2025-09-21
241,01caf54032309b518a584331b8a673f6,Unknown,1,800,46,10,32,2025-09-21
242,01cb96c64e8e35f29826a58963f6ecc5,Unknown,2,7100,43,23,43,2025-09-21
243,01cda14e6051f3dcf61bb80abf210b79,Unknown,1,150,17,9,12,2025-09-21
244,01cdc6fbdb39fc792bb4c40164ce2331,Unknown,1,7050,102,4,41,2025-09-21
245,01cf56cd6138b926a4802d16fc304149,Unknown,6,100,16,16,16,2025-09-21
246,01cf7c4cffff8db0a1cbe612bd2d50a4,Unknown,1,800,40,5,11,2025-09-21
247,01cf8c7364048b4b6ed0fe400667054d,Unknown,1,1200,30,16,20,2025-09-21
248,01cfc3d9c29504c2d370933e53f002b4,Unknown,1,400,23,8,15,2025-09-21
249,01d15932271068f9fd1f369b8449cac1,cool_stuff,5,4900,78,2,62,2025-09-21
250,01d40fca05c4227b987ee069be837b49,Unknown,2,9700,20,16,101,2025-09-21
251,01d4157fd9738ea81038316ae4cfc192,Unknown,1,355,34,21,40,2025-09-21
252,01da7f08d8327e0b4fab7edaa0c417a4,Unknown,3,350,16,3,11,2025-09-21
253,01e20e6604216c8adb31d463214ba00c,Unknown,1,300,16,11,16,2025-09-21
254,01e25be2c25019945382e057a8292e72,Unknown,1,1575,41,6,31,2025-09-21
255,01e66dc5bf4d5a186d856506a4f0fea2,Unknown,1,200,26,5,13,2025-09-21
256,01ea398598302b06869909ac5bfa5bcf,Unknown,1,5000,35,28,32,2025-09-21
257,01ea47d0dff23faa8d07ba3f353d2af0,Unknown,1,300,16,2,11,2025-09-21
258,01ebdb7ca76a3c581c0d5229ed80be7c,Unknown,1,600,16,31,18,2025-09-21
259,01ece5f98b5fe510881404f92229a49f,Unknown,1,900,16,10,16,2025-09-21
260,01ecf875ab885ebcae3dd2b1ccc4715f,Unknown,1,550,30,20,30,2025-09-21
261,01ef0716b68c8493434ad32430c24e18,Unknown,2,1250,16,10,16,2025-09-21
262,01f1608fbd6fc5b04308ff6157326e6d,Unknown,2,150,19,4,11,2025-09-21
263,01f2d77d8a63937c77c7128ce4bd2ada,Unknown,2,650,60,6,33,2025-09-21
264,01f3a99b81f49109d42540d84bcb8e07,Unknown,1,248,32,21,23,2025-09-21
265,01f76c07f91a533acd46cc6ab989be23,Unknown,4,750,22,12,33,2025-09-21
266,01fc56750f0d3444c4a1746ecf19dee0,Unknown,1,800,16,16,16,2025-09-21
267,01fd8a430d3bea327b7c71e651391001,consoles_games,1,100,26,3,14,2025-09-21
268,01ff1ff8aa5dec93e9938b989393a4ca,Unknown,1,350,18,13,18,2025-09-21
269,02032c15ca85744c99aa99583e824a90,Unknown,1,100,16,5,16,2025-09-21
270,02034d6c9c4814a08a3a0f5a6ad84332,Unknown,1,200,18,8,16,2025-09-21
271,02044dc95cf33aaf55e03bde1b042539,Unknown,2,150,31,8,11,2025-09-21
272,02064a5bc5d3656476e9dab151c69989,Unknown,3,450,16,5,11,2025-09-21
273,02090f97a28b3d10d19a09f045f6df34,Unknown,1,375,18,12,12,2025-09-21
274,020a80cb704bf65f38761fcedf2af192,Unknown,3,800,26,9,24,2025-09-21
275,0210b75f6f4de09dfc17a66803290f8a,Unknown,1,1800,35,20,20,2025-09-21
276,021426c19c264227de3c34e3f5e2f4ee,pet_shop,1,1750,40,16,30,2025-09-21
277,0214e4741dab5812bb31a61af1dc3de5,Unknown,1,2100,45,15,35,2025-09-21
278,021c41b063949bf529b79289c58e0a8b,pet_shop,1,550,20,40,20,2025-09-21
279,021d39ee869e87d5288f4e731df4a90e,Unknown,4,10350,102,15,40,2025-09-21
280,021f04378f9692f8747f926f38bb8281,Unknown,1,16150,62,12,50,2025-09-21
281,022649cdc8ef07dddfa3de3409647e00,Unknown,1,825,21,16,16,2025-09-21
282,0226c9207aea0b16076a27ca65cb4929,Unknown,1,600,20,8,14,2025-09-21
283,02293621a345f7cddda16c5d9c7990e4,Unknown,4,217,17,4,12,2025-09-21
284,022b0ef3922883f810bdff4d58e93115,Unknown,5,1625,60,8,33,2025-09-21
285,022ff42cced44a2b2cca57061cabb526,Unknown,1,3900,32,35,33,2025-09-21
286,0233382eae30811d6dfffbbfb5de36d8,Unknown,8,10750,54,18,35,2025-09-21
287,02335f37af17baf50a91273e4bdc8ef4,Unknown,1,450,29,16,11,2025-09-21
288,0233dd6f06e23c705ab76dc3ab165837,cool_stuff,3,100,20,16,16,2025-09-21
289,023473d9db1c319f2bcd010e043b2ba2,Unknown,2,18050,51,8,51,2025-09-21
290,02357c69f595e004b50ba115b3f88d63,cool_stuff,6,4000,43,35,18,2025-09-21
291,023a60ac6b3484afe23d788ce2444df0,Unknown,1,14300,45,15,35,2025-09-21
292,023d0e2e8457861c3badfb5fa7bcd58a,Unknown,4,150,18,3,12,2025-09-21
293,024063adde9af865418b7da3dd897b98,Unknown,1,450,20,9,14,2025-09-21
294,0241aa4ed831b73fd4940ffd9cec20dc,Unknown,1,8400,46,44,28,2025-09-21
295,024553ca83fc6e9ec93f5a9c823d1834,Unknown,1,2000,30,12,16,2025-09-21
296,02475368dfb38934fe55f574024fe1d7,Unknown,5,250,16,2,11,2025-09-21
297,025249b91a565601dc1b8f47ee7a230e,Unknown,2,500,16,13,13,2025-09-21
298,0254806b6c237bd1f21cae60ea8d1533,Unknown,1,7183,56,56,18,2025-09-21
299,0254a096e569c4a89b6870e9d4a65c3c,Unknown,4,600,25,12,28,2025-09-21
300,0254d6e0da36c6f28720f89cde66819a,Unknown,1,361,16,17,15,2025-09-21
301,0257013d9462b3b6e9892bdd10ebe14d,Unknown,1,300,20,10,20,2025-09-21
302,0259a8068ce1198d4370abb0d3c2e576,Unknown,1,500,21,9,12,2025-09-21
